"SKIPEVENTS","LHENAME"
"2900","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"3000","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"3100","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"3200","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"3300","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"3400","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"3500","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"3600","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"3700","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"3800","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"3900","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"4000","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"4100","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"4200","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"4300","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"4400","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"4500","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"4600","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"4700","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"4800","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"4900","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"5000","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"5100","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"5200","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"5300","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"5400","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"5500","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"5600","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"5700","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"5800","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"5900","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"6000","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"6100","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"6200","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"6300","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"6400","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"6500","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"6600","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"6700","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"6800","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"6900","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"7000","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"7100","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"7200","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"7300","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"7400","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"7500","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"7600","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"7700","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"7800","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"7900","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"8000","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"8100","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"8200","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"8300","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"8400","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"8500","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"8600","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"8700","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"8800","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"8900","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"9000","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"9100","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"9200","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"9300","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"9400","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"9500","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"9600","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"9700","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"9800","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"9900","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP000_Stau295_Chargino300_qcd0_qed4_unwgt"
"0","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"100","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"200","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"300","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"400","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"500","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"600","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"700","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"800","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"900","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"1000","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"1100","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"1200","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"1300","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"1400","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"1500","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"1600","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"1700","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"1800","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"1900","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"2000","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"2100","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"2200","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"2300","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"2400","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"2500","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"2600","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"2700","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"2800","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"2900","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"3000","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"3100","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"3200","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"3300","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"3400","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"3500","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"3600","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"3700","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"3800","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"3900","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"4000","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"4100","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"4200","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"4300","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"4400","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"4500","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"4600","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"4700","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"4800","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"4900","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"5000","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"5100","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"5200","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"5300","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"5400","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"5500","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"5600","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"5700","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"5800","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"5900","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"6000","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"6100","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"6200","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"6300","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"6400","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"6500","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"6600","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"6700","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"6800","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"6900","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"7000","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"7100","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"7200","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"7300","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"7400","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"7500","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"7600","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"7700","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"7800","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"7900","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"8000","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"8100","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"8200","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"8300","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"8400","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"8500","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"8600","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"8700","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"8800","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"8900","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"9000","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"9100","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"9200","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"9300","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"9400","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"9500","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"9600","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"9700","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"9800","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"9900","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau095_Chargino100_qcd0_qed4_unwgt"
"0","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"100","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"200","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"300","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"400","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"500","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"600","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"700","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"800","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"900","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"1000","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"1100","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"1200","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"1300","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"1400","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"1500","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"1600","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"1700","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"1800","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"1900","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"2000","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"2100","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"2200","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"2300","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"2400","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"2500","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"2600","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"2700","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"2800","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"2900","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"3000","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"3100","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"3200","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"3300","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"3400","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"3500","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"3600","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"3700","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"3800","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"3900","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"4000","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"4100","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"4200","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"4300","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"4400","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"4500","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"4600","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"4700","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"4800","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"4900","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"5000","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"5100","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"5200","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"5300","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"5400","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"5500","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"5600","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
"5700","VBFC1pmN2_C1ToTau_N2ToTauTau_LSP050_Stau195_Chargino200_qcd0_qed4_unwgt"
